sp,latin
psycch,Psychotria chagrensis
psycci,Psychotria cincta
psycde,Psychotria deflexa
psycel,Psychotria elata
psycer,Psychotria erecta
psycfu,Psychotria hoffmannseggiana
psycg1,Psychotria graciliflora
psycg2,Psychotria tenuifolia
psycg3,Psychotria grandis
psycho,Psychotria horizontalis
psycli,Psychotria limonensis
psyclu,Psychotria luxurians
psycma,Psychotria marginata
psycpa,Psychotria panamensis
psycpi,Psychotria cyanococca
psycpo,Psychotria poeppigiana
psycps,Psychotria psychotriifolia
psycra,Psychotria racemosa
psycsa,Psychotria santaritensis
psycsu,Psychotria suerrensis
psycum,Psychotria umbelliformis
pter2,Pterocarpus sp.2
pter3,Pterocarpus sp.3
pterac,Pterocarpus acapulcensis
pterof,Pterocarpus officinalis
pterro,Pterocarpus rohrii
qualpo,Qualea polychroma
quar3,Quararibea sp.3
quaras,Quararibea asterolepis
quarob,Matisia obliquifolia
quarpl,Quararibea platyphylla
quasam,Quassia amara
quetoc,Quetzalia occidentalis
quiisc,Quiina schippii
rand2,Randia sp.2
rand3,Randia sp.3
randar,Randia armata
randfo,Rosenbergiodendron formosum
randgr,Randia grandifolia
randho,Randia hondensis
rauvli,Rauvolfia littoralis
rino2,Rinorea sp.2
rino3,Rinorea sp.3
rino4,Rinorea sp.4
rinoap,Rinorea apiculata
rinoda,Rinorea dasyadena
rinohu,Rinorea hummelii
rinoli,Rinorea lindeniana
rinosq,Rinorea squamata
rinosy,Rinorea sylvatica
rollpi,Rollinia pittieri
roupmo,Roupala montana
rub6,Unidentified sp.6
rudg1,Rudgea sp.1
rudgco,Rudgea cornifolia
rudgpi,Rudgea pittieri
ruprco,Ruprechtia costata
ruptca,Ruptiliocarpon caracolito
ryansp,Ryania speciosa
sacoov,Sacoglottis ovicarpa
sacotr,Sacoglottis trichogyna
salaju,Salacia juruana
salape,Salacia petenensis
samasa,Samanea saman
sap1sa,Sapindus saponaria
sap3,Unidentified sp.3
sap4,Unidentified sp.4
sap5,Unidentified sp.5
sap6,Unidentified sp.6
sap7,Unidentified sp.7
sap8,Unidentified sp.8
sapi2,Sapium sp.2
sapiau,Sapium glandulosum
sapila,Sapium laurifolium
sapisp,Sapium broadleaf
sarcbr,Sarcaulus brasiliensis
saurla,Saurauia yasicae
sch1zo,Attalea butyracea
sch2mo,Schefflera morototoni
schipa,Schizolobium parahyba
sciaex,Sciadodendron excelsum
scleco,Sclerolobium costaricense
sennda,Senna dariensis
sideco,Sideroxylon cf.contrerasii
sidepe,Sideroxylon persimile
sim1po,Simaba polyphylla
simaam,Simarouba amara
sipa3,Siparuna sp.3
sipacu,Siparuna cuspidata
sipagu,Siparuna guianensis
sipapa,Siparuna pauciflora
sloa5,Sloanea sp.5
sloa6,Sloanea sp.6
sloa7,Sloanea sp.7
sloa8,Sloanea sp.8
sloa9,Sloanea sp.9
sloala,Sloanea laurifolia
sloam1,Sloanea meianthera
sloam2,Sloanea medusula
sloame,Sloanea megaphylla
sloate,Sloanea terniflora
sloazu,Sloanea zuliaensis
socrex,Socratea exorrhiza
sola3,Solanum sp.3
solaar,Solanum arboreum
solaas,Solanum asperum
solaex,Solanum cordovense
solaha,Solanum hayesii
solast,Solanum steyermarkii
soroaf,Sorocea affinis
soropu,Sorocea pubivena
spacme,Spachea membranacea
sponcy,Spondias dulcis
sponmo,Spondias mombin
sponra,Spondias radlkoferi
stem1,Stemmadenia sp.1
stem3,Stemmadenia sp.3
stemgr,Stemmadenia grandiflora
ster2,Sterculia sp.2
sterap,Sterculia apetala
stergl,Sterculia costaricana
sterre,Sterculia recordiana
stylst,Stylogyne turbacensis
swarpa,Swartzia panamensis
swars1,Swartzia simplex
swiema,Swietenia macrophylla
sympgl,Symphonia globulifera
synewa,Synechanthus warscewiczianus
tab1gu,Tabebuia guayacan
tab1oc,Tabebuia ochracea
tab1ro,Tabebuia rosea
tab2ar,Tabernaemontana arborea
tab2pa,Tabernaemontana panamensis
tab2pe,Tabernaemontana longipes
tab2un,Tabernaemontana undulata
tachve,Tachigali versicolor
talagl,Talauma gloriensis
talasa,Talauma sambuensis
taline,Talisia nervosa
talipr,Talisia croatii
tapigu,Tapirira guianensis
tapucu,Tapura cubensis
term1,Terminalia sp.1
termam,Terminalia amazonia
termob,Terminalia oblonga
ternte,Ternstroemia tepezapote
tet2pa,Tetragastris panamensis
tet4jo,Tetrathylacium johansenii
tet4ma,Tetrathylacium macrophyllum
tet5eu,Tetrorchidium euryphyllum
tet5go,Tetrorchidium gorgonae
theobe,Theobroma bernoullii
theoca,Theobroma cacao
theoch,Theobroma simiarum
theosp,Theobroma speciosum
thevah,Thevetia ahouai
toc1gu,Tococa guianensis
tocopi,Tocoyena pittieri
tovo1,Tovomita sp.1
tovolo,Tovomita longifolia
tovost,Tovomita stylosa
tovowe,Tovomita weddelliana
tratas,Trattinnickia aspera
tratbu,Trattinnickia burserifolia
tremin,Trema integerrima
tremmi,Trema micrantha
tri1gi,Trichanthera gigantea
tri2hi,Trichilia hirta
tri2pa,Trichilia pallida
tri2pl,Trichilia pleeana
tri2po,Trichilia poeppigii
tri2qu,Trichilia quadrijuga
tri2se,Trichilia septentrionalis
tri2to,Trichilia martiana
tri2tu,Trichilia tuberculata
tri4ga,Trichospermum galeottii
tripcu,Triplaris cumingiana
tropra,Trophis racemosa
turnpa,Turnera panamensis
turpoc,Turpinia occidentalis
un1m39,Unidentified monitoreo_39
un1m40,Unidentified monitoreo_40
un1m41,Unidentified monitoreo_41_1
un2_sh,Unidentified (sherman)
uniden,Unidentified species
unon1,Unonopsis sp.1
unon2,Unonopsis sp.2
unon3,Unonopsis peludo
unonpa,Unonopsis panamensis
unonpi,Unonopsis pittieri
unonth,Unonopsis theobromifolia
unonve,Unonopsis aff.veneficiorum
urerba,Urera baccifera
urerca,Urera caracasana
vantde,Vantanea depleta
vataer,Vatairea erythrocarpa
verbgi,Verbesina gigantea
verbla,Verbesina lanata
vernpa,Vernonanthura patens
viroel,Virola elongata
virogu,Virola guatemalensis
viroko,Virola koschnyi
viroma,Virola macrocarpa
virome,Virola megacarpa
virose,Virola sebifera
virosp,Virola multiflora
virosu,Virola surinamensis
vismba,Vismia baccifera
vismbi,Vismia billbergiana
vismje,Vismia jefensis
vismma,Vismia macrophylla
viteco,Vitex cooperi
vitecy,Vitex cymosa
voch1,Vochysia sp.1
vochfe,Vochysia ferruginea
vochho,Vochysia guatemalensis
warsco,Warszewiczia coccinea
welfre,Welfia regia
wetthi,Wettinia quinaria
ximeam,Ximenia americana
xyl1ar,Xylopia aromatica
xyl1bo,Xylopia bocatorena
xyl1fr,Xylopia frutescens
xyl1ma,Xylopia macrantha
xyl1se,Xylopia sericea
xyl2ch,Xylosma chlorantha
xyl2ol,Xylosma oligandra
zamiel,Zamia elegantissimia
zantbe,Zanthoxylum ekmanii
zantp1,Zanthoxylum panamense
zantpr,Zanthoxylum acuminatum
zantse,Zanthoxylum setulosum
zizici,Ziziphus chloroxylon
zuelgu,Zuelania guidonia
zygi1,Zygia sp.1
zygi2,Zygia sp.2
