sp,latin
bixaor,Bixa orellana
bligsa,Blighia sapida
boro1,Borojoa sp.1
boropa,Borojoa panamensis
bourco,Bourreria costaricensis
brosal,Brosimum alicastrum
brosco,Brosimum costaricanum
brosgu,Brosimum guianense
brosla,Brosimum lactescens
brosut,Brosimum utile
buchca,Buchenavia tetraphylla
bunc1,Bunchosia sp.1
buncod,Bunchosia odorata
burssi,Bursera simaruba
byrsc1,Byrsonima crispa
byrscr,Byrsonima crassifolia
byrsne,Byrsonima dressleri
byrssp,Byrsonima spicata
caesco,Caesalpinia coriaria
cal11,Calycolpus sp.1
cal1wa,Calycolpus warszewiczianus
cal2ca,Calycophyllum candidissimum
cal3co,Calyptrogyne costatifrons
calaco,Calatola costaricensis
callst,Calliandra laxa
calobr,Calophyllum brasiliense
calolo,Calophyllum longifolium
calych,Calyptranthes chytraculia
calypu,Calyptranthes pulchella
calytu,Calyptranthes tumidonodia
cappcy,Capparis cynophallophora
cappdi,Capparis discolor
cappfr,Capparis frondosa
cappin,Capparis indica
cappos,Capparis aff.osmantha
capppi,Capparis pittieri
caragu,Carapa guianensis
carica,Vasconcellea cauliflora
carybu,Caryodaphnopsis burgeri
cas1mo,Cassia moschata
case3,Casearia sp.3
case4,Casearia sp.4
case5,Casearia sp.5
case6,Casearia sp.6
casea1,Casearia arguta
caseac,Casearia aculeata
casear,Casearia arborea
casec1,Casearia coronata
caseco,Casearia commersoniana
casegu,Casearia guianensis
caseni,Casearia nigricans
casesy,Casearia sylvestris
cassel,Cassipourea elliptica
castel,Castilla elastica
cavapl,Cavanillesia platanifolia
cecrga,Cecropia garciae
cecrhe,Cecropia heterochroma
cecrin,Cecropia insignis
cecrlo,Cecropia longipes
cecrob,Cecropia obtusifolia
cecrpe,Cecropia peltata
cedrod,Cedrela odorata
ceibpe,Ceiba pentandra
celtsc,Celtis schippii
cespma,Cespedesia spathulata
cestla,Cestrum latifolium
cestme,Cestrum megalophyllum
cha1te,Chamaedorea tepejilote
cha2sc,Chamguava schippii
cheico,Cheiloclinium cognatum
chi1pa,Chionanthus panamensis
chimla,Chimarrhis latifolia
chimpa,Chimarrhis parviflora
chomsp,Chomelia spinosa
chr1ec,Chrysochlamys eclipes
chr1gl,Chrysochlamys glauca
chr1gr,Chrysochlamys grandifolia
chr21,Chrysophyllum sp.1
chr2ar,Chrysophyllum argenteum
chr2ca,Chrysophyllum cainito
chr2co,Chrysophyllum colombianum
chr2hi,Chrysophyllum hirsutum
chr2ve,Chrysophyllum venezuelanense
chroru,Chromolucuma aff.rubriflora
citrsi,Citrus sinensis
clarbi,Clarisia biflora
clarra,Clarisia racemosa
clavco,Clavija costaricana
clavme,Clavija mezii
clid1,Clidemia sp.1
clidd1,Clidemia densiflora
clidde,Clidemia dentata
cliddi,Clidemia discolor
clidha,Clidemia hammelii
clidoc,Clidemia octona
clidse,Clidemia septuplinervia
clusdi,Clusia divaricata
cluspr,Clusia pratensis
cnempe,Cyathea petiolata
cocc2,Coccoloba sp.2
cocc4,Coccoloba sp.4
coccca,Coccoloba caracasana
coccco,Coccoloba coronata
coccjo,Coccoloba johnstonii
coccla,Coccoloba lasseri
coccma,Coccoloba manzinellensis
coccmo,Coccoloba mollis
coccob,Coccoloba obovata
coccpa,Coccoloba padiformis
cocctu,Coccoloba tuerckheimii
colugl,Colubrina glandulosa
coluhe,Colubrina heteroneura
colusp,Colubrina spinosa
compca,Compsoneura capitellata
compsp,Compsoneura sprucei
concpl,Conceveiba pleiostemona
cono1,Conostegia sp.1
conobr,Conostegia bracteata
conoci,Conostegia cinnamomea
conomo,Conostegia montana
conoru,Conostegia rufescens
copaar,Copaifera aromatica
cord6,Cordia sp.6
cord7,Cordia sp.7
cordal,Cordia alliodora
cordbi,Cordia bicolor
corddw,Cordia dwyeri
cordla,Cordia lasiocalyx
cordlu,Cordia lucidula
cordpa,Cordia panamensis
cordpo,Cordia porcata
cou21,Coussarea sp.1
cou2ce,Coussarea cerroazulensis
cou2cu,Coussarea curvigemmia
cou2ho,Coussarea hondensis
cou2la,Coussarea latifolia
coue1,Couepia sp.1
courpa,Couratari guianensis
couthe,Coutarea hexandra
cratta,Crateva tapia
crem2,Cremastosperma sp.2
crem4,Cremastosperma sp.4
creman,Klarobelia anomala
crempa,Cremastosperma panamense
crospa,Crossopetalum parviflorum
crot2,Croton sp.2
crotbi,Croton billbergianus
crotdr,Croton draco
crotla,Croton lanjouwensis
crotpa,Croton pachypodus
crotsc,Croton schiedeanus
crudac,Crudia acuminata
cryowa,Cryosophila warscewiczii
cupa1,Cupania sp.1
cupa2,Cupania sp.2
cupa3,Cupania sp.3
cupa5,Cupania sp.5
cupaci,Cupania cinerea
cupagu,Cupania guatemalensis
cupala,Cupania latifolia
cuparu,Cupania rufescens
cupasc,Cupania scrobiculata
cupasy,Cupania seemannii
cyatmu,Cyathea multiflora
cym1co,Cymbopetalum costaricense
cym1la,Cymbopetalum lanugipetalum
cyphha,Solanum circinatum
dalbre,Dalbergia retusa
dapham,Daphnopsis americana
daphco,Daphnopsis correae
dendar,Dendropanax arboreus
dendgl,Dendropanax globosus
dendpu,Dendropanax punctatus
dendse,Dendropanax sessiliflorus
des2pa,Desmopsis panamensis
dialgu,Dialium guianense
dichax,Dichapetalum axillare
dio2ar,Diospyros artanthifolia
diphro,Diphysa americana
diptpa,Dipteryx oleifera
discgu,Discophora guianensis
dryp2,Drypetes coba
drypam,Drypetes aff.amazonica
drypst,Drypetes standleyi
duguco,Duguetia confusa
duss1,Dussia sp.1
duss2,Dussia sp.2
duss3,Dussia sp.3
duss4,Dussia sp.4
duss5,Dussia sp.5
duss6,Dussia sp.6
dussat,Dussia atropurpurea
dussma,Dussia macroprophyllata
dusste,Dussia tessmannii
dystpa,Dystovomita paniculata
ecclla,Ecclinusa lanceolata
ela1ni,Elaeagia nitidifolia
ela21,Elaeoluma sp.1
elaeol,Elaeis oleifera
endlbr,Endlicheria browniana
entecy,Enterolobium cyclocarpum
entesc,Enterolobium schomburgkii
erblod,Erblichia odorata
erisbl,Erisma blancoa
ery1co,Erythrina costaricensis
ery2ci,Erythroxylum citrifolium
ery2ma,Erythroxylum macrophyllum
ery2pa,Erythroxylum panamense
esch3,Eschweilera sp.3
esch6,Eschweilera sp.6
escham,Eschweilera amplexifolia
eschan,Eschweilera aff.angustifolia
eschca,Eschweilera calyculata
eschja,Eschweilera jacquelyniae
eschpa,Eschweilera panamensis
eschpi,Eschweilera pittieri
eschse,Eschweilera sessilis
euge10,Eugenia sp.10
euge13,Eugenia sp.13
euge16,Eugenia sp.16
euge18,Eugenia sp.18
euge19,Eugenia sp.19
euge20,Eugenia sp.20
euge22,Eugenia sp.22
euge26,Eugenia sp.26
euge27,Eugenia sp.27
euge5,Eugenia sp.5
euge6,Eugenia sp.6
euge7,Eugenia sp.7
euge8,Eugenia sp.8
euge9,Eugenia sp.9
eugeau,Eugenia austin-smithii
eugeco,Eugenia coloradoensis
eugecr,Eugenia cricamolensis
eugega,Eugenia galalonensis
eugene,Eugenia nesiotica
eugeoc,Eugenia octopleura
eugeoe,Eugenia oerstediana
eugepr,Eugenia principium
eugesa,Eugenia hiraeifolia
eugeve,Eugenia venezuelensis
eup2,Unidentified sp.2
eutepr,Euterpe precatoria
exosme,Exostema mexicanum
fara2,Faramea coba
faralu,Faramea luteovirens
faramu,Faramea multiflora
faraoc,Faramea occidentalis
farapa,Faramea parvibractea
ficu10,Ficus sp.10
ficu11,Ficus sp.11
ficu12,Ficus sp.12
ficu13,Ficus sp.13
ficu3,Ficus sp.3
ficu4,Ficus sp.4
ficu5,Ficus sp.5
ficu6,Ficus sp.6
ficu8,Ficus sp.8
ficu9,Ficus sp.9
ficubr,Ficus brevibracteata
ficubu,Ficus bullenei
ficuc1,Ficus colubrinae
ficuc2,Ficus costaricana
ficuci,Ficus citrifolia
ficuin,Ficus insipida
ficuma,Ficus maxima
ficuny,Ficus nymphaeifolia
ficuob,Ficus obtusifolia
ficup1,Ficus apollinaris
ficupe,Ficus pertusa
ficupo,Ficus popenoei
ficuto,Ficus tonduzii
ficutr,Ficus aurea
ficuyo,Ficus yoponensis
fissfe,Fissicalyx fendleri
gar2in,Garcinia intermedia
gar2m1,Garcinia magnifolia
gar2ma,Garcinia madruno
geniam,Genipa americana
