case,simYr,var,value
BCI obs.,2016,RoL,0.5215658656228518
BCI obs.,2015,RoL,0.3723201159556419
BCI obs.,2017,RoL,0.6025836549016091
BCI obs.,2014,RoL,0.46632332646066854
BCI obs.,2018,RoL,0.35071446306301957
