case,simYr,var,value
BCI obs.,1,RECRUITMENT,110.2387056032062
BCI obs.,2,RECRUITMENT,90.51175562913708
BCI obs.,3,RECRUITMENT,57.62335220704786
BCI obs.,4,RECRUITMENT,50.64166343000524
BCI obs.,5,RECRUITMENT,61.89920551446339
BCI obs.,6,RECRUITMENT,74.36881935506877
BCI obs.,7,RECRUITMENT,79.26789904351979
