unique(bcifull_clean$sp)
swars1
aegipa
beilpe
faraoc
tet2pa
crotbi
ocotob
solaha
quaras
gustsu
pterro
virosu
simaam
protte
brosal
ingape
poular
casear
hirttr
ocotwh
guatdu
anacex
tri2tu
guarsp
guargu
zantpr
termob
guazul
tab1ro
sloate
alchco
loncla
alsebl
luehse
tripcu
cecrob
licapl
eugeco
heisco
eugene
pri2co
sponra
poutre
guapst
cordbi
zantbe
annosp
tab2ar
jac1co
zantp1
chr2ar
eugeoe
huracr
sapiau
apeime
ficuyo
ingago
ceibpe
cavapl
chr2ca
lindla
virose
pla1pi
lacmpa
drypst
myrofr
ingaco
posola
casesy
amaico
pla2el
cordal
dio2ar
tratas
colugl
apeiti
gar2in
poutst
tab1gu
ingafa
sch1zo
sterap
cassel
calolo
hyeral
zuelgu
cecrin
hassfl
sponmo
ingama
allops
virosp
sympgl
guetfo
mar1la
ficutr
aspicr
dendar
andiin
ingas1
diptpa
ast2gr
hirtam
ficuob
tropra
protpa
ficuto
unonpi
maquco
gar2ma
macrgl
randar
cespma
cordla
picrla
cupala
zantse
xyl1ma
geniam
ingasp
hampap
sapisp
sipapa
myrcga
nectci
ficuma
maytsc
phoeci
licahy
tachve
protco
laciag
psidfr
celtsc
nects1
ormocr
apeihy
ficupo
turpoc
tremmi
ade1tr
ingasa
ocotce
guargr
ingapu
nectgl
swars2
micoar
ficuc2
ficuin
ormoma
termam
tri2pa
ficubu
tet4jo
pse1se
tocopi
sch2mo
pochse
ocotpu
cupasy
ingami
ingaru
cuparu
poutfo
vochfe
ast1st
cou2cu
micoho
coccco
cupaci
eugega
tri4ga
laetpr
lafopu
entesc
pterof
cedrod
ingaqu
pourbi
pit1ma
uniden
ingath
pochqu
alchla
sipagu
ochrpy
oenoma
caseac
laetth
ery2ma
nectpu
socrex
perexa
chimpa
couthe
schipa
elaeol
maclti
tremin
sipacr
